Wall time,Step,Value
1706182268.6966434,2000,735.7142944335938
1706182280.1025846,4000,481.521728515625
1706182292.2460968,6000,490.8333435058594
1706182304.0157568,8000,513.5869750976562
1706182315.471425,10000,473.828125
1706182327.0755758,12000,434.1954040527344
1706182338.469435,14000,401.75
1706182350.1771853,16000,365.75
1706182361.8729954,18000,310.0
1706182373.5926452,20000,279.5
1706182384.922016,22000,265.0
1706182396.8734035,24000,228.25
1706182408.2478063,26000,217.5
1706182420.0378404,28000,226.25
1706182431.2332144,30000,237.5
1706182443.0061028,32000,264.25
1706182454.6634185,34000,291.25
1706182465.5234234,36000,318.0
1706182476.9549563,38000,359.0
1706182488.9003115,40000,355.25
1706182500.6848686,42000,362.5
1706182512.281598,44000,389.75
1706182523.677494,46000,452.0
1706182534.9039443,48000,494.25
1706182546.3226724,50000,518.0
1706182557.4317486,52000,568.75
1706182569.2021713,54000,622.0
1706182580.5139196,56000,669.5
1706182592.3101318,58000,729.0
1706182604.8435147,60000,743.5
1706182615.678095,62000,783.75
1706182626.6234276,64000,825.0
1706182637.9372816,66000,846.25
1706182649.695903,68000,906.5
1706182661.058215,70000,913.25
1706182671.2380452,72000,901.5
1706182681.3916776,74000,834.0
1706182691.2551677,76000,768.75
1706182702.062786,78000,714.5
1706182712.9290583,80000,650.75
1706182724.3886523,82000,646.25
1706182736.191718,84000,637.25
1706182747.86185,86000,610.0
1706182758.5739768,88000,617.5
1706182769.034422,90000,631.25
1706182780.6947129,92000,647.0
1706182792.048339,94000,647.75
1706182802.7705102,96000,641.0
1706182814.478864,98000,590.75
1706182825.9738646,100000,453.5
